phase,model_family,observable_family,source,species_or_property,target_role,state_count,target_count,solver_success_count,median_abs_log10,rmse_log10,max_abs_log10,max_model_mole_fraction_for_reported_zero,metric
phase2,phase2_epcsaft_reactive_bubble,pressure,Aronu2011,CO2_pressure,measured_pressure,36,36,36,0.4306522015665256,0.7266681992899191,1.4852519243331819,,log10_model_over_data
phase2,phase2_epcsaft_reactive_bubble,pressure,Hilliard2008,CO2_pressure,measured_pressure,30,30,30,0.6207943040952805,0.7570737657115777,1.232350713116625,,log10_model_over_data
phase2,phase2_epcsaft_reactive_bubble,pressure,Idris2014,CO2_pressure,measured_pressure,10,10,10,0.5138201623024671,0.5652499386227838,1.0199467776546873,,log10_model_over_data
phase2,phase2_epcsaft_reactive_bubble,pressure,Jou1995,CO2_pressure,measured_pressure,48,48,48,0.5576051998040928,0.6937244177523912,1.329110511015443,,log10_model_over_data
phase2,phase2_epcsaft_reactive_bubble,pressure,Mamun2005,CO2_pressure,measured_pressure,19,19,19,0.2875795688101837,0.38682544601060237,0.7096546125878501,,log10_model_over_data
phase2,phase2_epcsaft_reactive_bubble,pressure,Xu2011,CO2_pressure,measured_pressure,18,18,18,0.27404277777710273,0.3053658907535679,0.5078142656021474,,log10_model_over_data
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,all_speciation_states,state_record,39,39,39,,,,,state_accounting
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,CO2,direct_positive,2,2,2,0.26329333755912926,0.2667019256536336,0.30579669677143995,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,CO2,balance_inferred,37,37,37,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,MEA,balance_inferred,39,39,39,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,MEAH+,balance_inferred,39,39,39,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,MEACOO-,direct_positive,39,39,39,0.022336200193587598,0.070614881536413,0.227921904732015,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,HCO3-,direct_positive,19,19,19,0.11773866623336664,0.26123463601531743,0.6017099015539116,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,HCO3-,direct_zero,14,14,14,,,,0.0012758413981048295,max_model_mole_fraction_for_reported_zero
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,HCO3-,balance_inferred,6,6,6,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,CO3^2-,balance_inferred,39,39,39,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,H3O+,balance_inferred,39,39,39,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,OH-,balance_inferred,39,39,39,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,MEA + MEAH+,aggregate_direct_positive,39,39,39,0.11423622988588555,0.1322313899290495,0.243269576014586,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,all_speciation_states,state_record,16,16,16,,,,,state_accounting
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,CO2,direct_positive,4,4,4,0.05870946995791234,0.11060349013481155,0.19682129494082642,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,CO2,balance_inferred,12,12,12,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,MEA,direct_positive,16,16,16,0.12514746437399699,0.46426015488247624,1.0577276749371614,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,MEAH+,direct_positive,16,16,16,0.05659353610406863,0.12269797135757174,0.2890205673075217,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,MEACOO-,direct_positive,16,16,16,0.057072855434335226,0.09572526412144255,0.21845921262493373,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,HCO3-,direct_positive,15,15,15,0.43011608000156276,0.5654193982977423,1.5128280357844213,,log10_model_over_target
