source_row,MEA_weight_fraction,temperature,CO2_loading,CO2_pressure,CO2_loading_uncertainty,CO2_pressure_uncertainty,source_table_or_figure,doi,notes
1,0.3,40,0.242,0.021,,,Table 2,10.1016/j.egypro.2014.11.152,Uncertainty not transcribed; blank is not zero.
2,0.3,40,0.321,0.038,,,Table 2,10.1016/j.egypro.2014.11.152,Uncertainty not transcribed; blank is not zero.
3,0.3,40,0.33,0.043,,,Table 2,10.1016/j.egypro.2014.11.152,Uncertainty not transcribed; blank is not zero.
4,0.3,40,0.345,0.05,,,Table 2,10.1016/j.egypro.2014.11.152,Uncertainty not transcribed; blank is not zero.
5,0.3,40,0.352,0.064,,,Table 2,10.1016/j.egypro.2014.11.152,Uncertainty not transcribed; blank is not zero.
6,0.3,40,0.355,0.097,,,Table 2,10.1016/j.egypro.2014.11.152,Uncertainty not transcribed; blank is not zero.
7,0.3,40,0.375,0.107,,,Table 2,10.1016/j.egypro.2014.11.152,Uncertainty not transcribed; blank is not zero.
8,0.3,40,0.377,0.123,,,Table 2,10.1016/j.egypro.2014.11.152,Uncertainty not transcribed; blank is not zero.
9,0.3,40,0.436,0.445,,,Table 2,10.1016/j.egypro.2014.11.152,Uncertainty not transcribed; blank is not zero.
10,0.3,40,0.46,0.813,0.014,0.077,Table 2,10.1016/j.egypro.2014.11.152,Reported uncertainty transcribed from the source table.
