source_key,source_file,source_row,active_view_member,active_row_id,lifecycle_status,disposition_reason
Aronu2011,Aronu_2011_VLE.csv,1,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,2,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,3,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,4,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,5,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,6,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,7,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,8,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,9,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,10,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,11,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,12,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,13,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,14,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,15,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,16,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,17,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,18,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,19,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,20,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,21,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,22,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,23,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,24,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,25,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,26,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,27,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,28,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,29,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,30,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,31,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,32,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,33,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.
Aronu2011,Aronu_2011_VLE.csv,34,yes,vle_0001,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.
Aronu2011,Aronu_2011_VLE.csv,35,yes,vle_0002,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.
Aronu2011,Aronu_2011_VLE.csv,36,yes,vle_0003,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.
Aronu2011,Aronu_2011_VLE.csv,37,yes,vle_0004,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.
Aronu2011,Aronu_2011_VLE.csv,38,yes,vle_0005,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.
Aronu2011,Aronu_2011_VLE.csv,39,yes,vle_0006,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.
Aronu2011,Aronu_2011_VLE.csv,40,yes,vle_0007,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.
Aronu2011,Aronu_2011_VLE.csv,41,yes,vle_0008,active_v1,Retained in the byte-stable Combined_VLE.csv active-v1 view.
