observation_id,measurement_origin,measured_primitive,derivation_or_correction,observed_pco2_kpa,uncertainty_value,uncertainty_unit,uncertainty_status,covariance_status,source_locator,state_pressure_pa,pressure_specification,target_eligible,eligibility_reason
vle_obs_0001,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0017,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0002,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0035,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0003,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0068,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0004,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.017,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0005,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0215,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0006,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0427,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0007,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.045,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0008,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.0845,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0009,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.222,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0010,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.6634,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0011,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,0.7013,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
vle_obs_0012,direct_partial_pressure,equilibrium_gas_CO2_partial_pressure,none,4.8405,,,source_numeric_uncertainty_not_transcribed,source_covariance_not_reported,"Aronu et al. (2011), Tables 3-6; corrected columns per 2012 corrigendum",,missing_source_pressure_contract,no,No source-backed state pressure or pressure convention is frozen.
