target_id,source_key,source_path,target_path,target_kind,status,package_dependency,required_before_use,notes
Wong2015_Raman_speciation,Wong2015,docs/papers/md/Wong et al. - 2015 - Chemical speciation of CO2 absorption in aqueous monoethanolamine investigated by in situ Raman spec.md,data/reference/MEA/observations/liquid_speciation/Wong_2015_Raman_speciation.csv,data,figure_digitized_with_qa_overlay,none,yes,Digitized Fig. 8 into Wong_2015_Raman_speciation.csv with calibration metadata and QA overlay; five overlap-sensitive rows are flagged ambiguous.
Wong2015_Raman_metadata,Wong2015,docs/papers/md/Wong et al. - 2015 - Chemical speciation of CO2 absorption in aqueous monoethanolamine investigated by in situ Raman spec.md,data/reference/MEA/observations/liquid_speciation/Wong_2015_Raman_metadata.csv,metadata,metadata_extracted,none,yes,Recorded source/status metadata for Raman speciation extraction.
Wong2015_high_pressure_loading,Wong2015,docs/papers/md/Wong et al. - 2015 - Chemical speciation of CO2 absorption in aqueous monoethanolamine investigated by in situ Raman spec.md,data/reference/MEA/observations/vapor_liquid_equilibrium/Wong_2015_high_pressure_loading.csv,data,table_extracted_with_batch_caveat,none,yes,Extracted all 41 Table 5 rows with calculated and Raman-predicted loadings distinct; repeated 1 bar batches are not capacity observations.
Amundsen2009_density_viscosity,Amundsen2009,docs/papers/md/Amundsen et al. - 2009 - Density and viscosity of monoethanolamine + water + carbon dioxide from (25 to 80) °C.md,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,data,complete_tables_1_to_8_extracted,none,yes,Deterministically parsed 70 unloaded and 143 loaded observations; density is property-target candidate evidence and viscosity remains validation-only.
Amundsen2009_correlation_metadata,Amundsen2009,docs/papers/md/Amundsen and Dag - 2009 - APPENDIX A  PARAMETER CORRELATIONS.md,data/reference/MEA/observations/density_viscosity/Amundsen_2009_correlation_metadata.csv,metadata,metadata_extracted,none,no,Staged correlation provenance; not a substitute for measured data.
MEA_H2O_dielectric,MEA_H2O_dielectric,data/reference/MEA/observations/dielectric/README.md,data/reference/MEA/observations/dielectric/MEA_H2O_dielectric.csv,data,source_lead_only,none,yes,"Primary-source search executed; Hajj/Hsieh/Floriano/Nascimento remain metadata leads and no numeric values are admitted."
loaded_MEA_pH,loaded_MEA_pH,data/reference/MEA/observations/ph/README.md,data/reference/MEA/observations/ph/loaded_MEA_pH.csv,data,source_pending,none,no,"A dynamic process-monitoring lead was screened out; require calibrated equilibrium pH scale and primary values."
direct_ionic_activity,direct_ionic_activity,data/reference/MEA/observations/ionic_activity/README.md,data/reference/MEA/observations/ionic_activity/direct_ionic_activity.csv,data,source_pending,none,no,"Authorized search found no direct target-ion dataset; analog salts remain explicitly indirect."
Fan2009_NMR_speciation,Fan2009,external DOI 10.1021/ie8015895; HERO https://hero.epa.gov/reference/7449893/,data/reference/MEA/observations/liquid_speciation/Fan_2009_NMR_speciation.csv,data,external_fulltext_required,none,yes,Do not fill from abstract. Acquire paper or SI and verify table/figure basis before import or digitization.
DuPreez2019_FTIR_speciation,DuPreez2019,external DOI 10.1021/acs.iecr.8b04437; ACS https://pubs.acs.org/doi/10.1021/acs.iecr.8b04437,data/reference/MEA/observations/liquid_speciation/DuPreez_2019_FTIR_speciation.csv,data,external_fulltext_required,none,yes,Do not fill from snippets. Acquire paper/SI and prefer tables over figure digitization if available.
Cai1996_MEA_H2O_VLE,Cai1996,external DOI 10.1021/je960118o,data/reference/MEA/observations/vapor_liquid_equilibrium/Cai_1996_MEA_H2O_VLE.csv,data,external_fulltext_required,none,yes,"Acquire primary article tables; preserve pressure composition basis and uncertainty."
ParkLee1997_MEA_H2O_VLE,ParkLee1997,external DOI 10.1007/BF02706075,data/reference/MEA/observations/vapor_liquid_equilibrium/Park_Lee_1997_MEA_H2O_VLE.csv,data,external_fulltext_required,none,yes,"Acquire primary article tables and isolate the MEA-water binary system."
Kim2008_MEA_H2O_VLE,Kim2008,external DOI 10.1021/je800290k,data/reference/MEA/observations/vapor_liquid_equilibrium/Kim_2008_MEA_H2O_VLE.csv,data,external_fulltext_required,none,yes,"Use a lawful primary copy; do not transcribe an unofficial web PDF."
Posey1996_excess_enthalpy,Posey1996,UT Austin institutional dissertation,data/reference/MEA/calorimetry/Posey_1996_excess_enthalpy.csv,data,external_fulltext_required,none,yes,"Full text is accessible; locate exact measured tables and independently verify extraction."
Touhara1982_excess_enthalpy,Touhara1982,bibliographic lead volume 14 page 145,data/reference/MEA/calorimetry/Touhara_1982_excess_enthalpy.csv,data,metadata_resolution_required,none,yes,"Resolve title DOI mixture and source tables before extraction."
Jiru2012_physical_solubility,Jiru2012,external DOI 10.1021/ie3002588,data/reference/MEA/physical_solubility/Jiru_2012_CO2_physical_solubility.csv,data,external_fulltext_required,none,yes,"Acquire primary values and preserve the physical-solubility measurement method."
Hartono2014_physical_solubility,Hartono2014,external DOI 10.1021/je401081e,data/reference/MEA/physical_solubility/Hartono_2014_N2O_solubility.csv,data,external_fulltext_required,none,yes,"Retrieve ACS SI and distinguish N2O analogy from direct CO2 evidence."
MEA_pure_property_evidence,MEA_pure_properties,repo-local bibliography and external primary sources,data/reference/MEA/pure_properties/MEA_pure_property_evidence.csv,data,metadata_resolution_required,none,yes,"Resolve measured pure-MEA source package and ranges before numeric extraction."
