target_family,record_id,source_key,group_id,mea_mass_fraction,temperature_C,lifecycle_status,split,role,weight,source_path,source_hash,reason
speciation,Bottinger2008_state_001,Bottinger2008,speciation|Bottinger2008|w=0.2|T=20,0.2,20,validation_reserved,validation,reserved_validation,1,data/reference/MEA/observations/liquid_speciation/Canonical_Combined_ChEq.csv,8c07df9efd1c1ecbd775ccdd42791e0cef1880b3837e5749a60d2142aa85809e,Held as a complete source/composition/temperature curve; every state must be accounted for.
speciation,Bottinger2008_state_002,Bottinger2008,speciation|Bottinger2008|w=0.2|T=20,0.2,20,validation_reserved,validation,reserved_validation,1,data/reference/MEA/observations/liquid_speciation/Canonical_Combined_ChEq.csv,8c07df9efd1c1ecbd775ccdd42791e0cef1880b3837e5749a60d2142aa85809e,Held as a complete source/composition/temperature curve; every state must be accounted for.
speciation,Bottinger2008_state_003,Bottinger2008,speciation|Bottinger2008|w=0.2|T=20,0.2,20,validation_reserved,validation,reserved_validation,1,data/reference/MEA/observations/liquid_speciation/Canonical_Combined_ChEq.csv,8c07df9efd1c1ecbd775ccdd42791e0cef1880b3837e5749a60d2142aa85809e,Held as a complete source/composition/temperature curve; every state must be accounted for.
speciation,Bottinger2008_state_004,Bottinger2008,speciation|Bottinger2008|w=0.2|T=20,0.2,20,validation_reserved,validation,reserved_validation,1,data/reference/MEA/observations/liquid_speciation/Canonical_Combined_ChEq.csv,8c07df9efd1c1ecbd775ccdd42791e0cef1880b3837e5749a60d2142aa85809e,Held as a complete source/composition/temperature curve; every state must be accounted for.
speciation,Bottinger2008_state_005,Bottinger2008,speciation|Bottinger2008|w=0.2|T=20,0.2,20,validation_reserved,validation,reserved_validation,1,data/reference/MEA/observations/liquid_speciation/Canonical_Combined_ChEq.csv,8c07df9efd1c1ecbd775ccdd42791e0cef1880b3837e5749a60d2142aa85809e,Held as a complete source/composition/temperature curve; every state must be accounted for.
speciation,Bottinger2008_state_006,Bottinger2008,speciation|Bottinger2008|w=0.2|T=20,0.2,20,validation_reserved,validation,reserved_validation,1,data/reference/MEA/observations/liquid_speciation/Canonical_Combined_ChEq.csv,8c07df9efd1c1ecbd775ccdd42791e0cef1880b3837e5749a60d2142aa85809e,Held as a complete source/composition/temperature curve; every state must be accounted for.
speciation,Bottinger2008_state_007,Bottinger2008,speciation|Bottinger2008|w=0.2|T=20,0.2,20,validation_reserved,validation,reserved_validation,1,data/reference/MEA/observations/liquid_speciation/Canonical_Combined_ChEq.csv,8c07df9efd1c1ecbd775ccdd42791e0cef1880b3837e5749a60d2142aa85809e,Held as a complete source/composition/temperature curve; every state must be accounted for.
speciation,Bottinger2008_state_008,Bottinger2008,speciation|Bottinger2008|w=0.2|T=20,0.2,20,validation_reserved,validation,reserved_validation,1,data/reference/MEA/observations/liquid_speciation/Canonical_Combined_ChEq.csv,8c07df9efd1c1ecbd775ccdd42791e0cef1880b3837e5749a60d2142aa85809e,Held as a complete source/composition/temperature curve; every state must be accounted for.
speciation,Bottinger2008_state_009,Bottinger2008,speciation|Bottinger2008|w=0.2|T=40,0.2,40,validation_reserved,validation,reserved_validation,1,data/reference/MEA/observations/liquid_speciation/Canonical_Combined_ChEq.csv,8c07df9efd1c1ecbd775ccdd42791e0cef1880b3837e5749a60d2142aa85809e,Held as a complete source/composition/temperature curve; every state must be accounted for.
speciation,Bottinger2008_state_010,Bottinger2008,speciation|Bottinger2008|w=0.2|T=40,0.2,40,validation_reserved,validation,reserved_validation,1,data/reference/MEA/observations/liquid_speciation/Canonical_Combined_ChEq.csv,8c07df9efd1c1ecbd775ccdd42791e0cef1880b3837e5749a60d2142aa85809e,Held as a complete source/composition/temperature curve; every state must be accounted for.
